"callerIpAddress","city","state","latitude","longitude"
"73.185.147.132","Eden Prairie","Minnesota","44.86407852172851","-93.44171142578124"
"74.127.140.40","Waubun","Minnesota","47.158241271972659","-95.79989624023438"
"52.14.19.12","Columbus","Ohio","39.99557876586914","-82.99945831298828"
"3.144.187.249","Eden Prairie","Minnesota","44.86407852172851","-93.44171142578124"
"3.144.187.249","Columbus","Ohio","39.99557876586914","-82.99945831298828"
"75.73.156.138","Eden Prairie","Minnesota","44.87622833251953","-93.4856185913086"
"73.185.147.132","","","",""
"20.98.130.20","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"98.144.242.145","South Milwaukee","Wisconsin","42.911720275878909","-87.86071014404299"
"98.63.225.36","","","",""
"98.63.225.36","Palatine","Illinois","42.12757110595703","-88.05045318603516"
"75.73.156.138","Eden Prairie","Minnesota","44.85308837890625","-93.44824981689453"
"20.98.130.20","","","",""
"74.127.140.40","Frazee","Minnesota","46.7305908203125","-95.76074981689453"
"13.86.106.112","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"75.73.156.138","Minneapolis","Minnesota","44.96754837036133","-93.30303192138672"
"75.73.156.138","","","",""
"98.144.242.145","","","",""
"157.58.213.204","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.76","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.76","","","",""
"157.58.213.203","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"98.63.225.36","San Jose","California","37.330528259277347","-121.83822631835936"
"3.143.172.71","Columbus","Ohio","39.99557876586914","-82.99945831298828"
"18.216.145.247","Minneapolis","Minnesota","44.96754837036133","-93.30303192138672"
"18.216.145.247","Columbus","Ohio","39.99557876586914","-82.99945831298828"
"13.86.106.78","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"74.127.140.40","","","",""
"13.86.105.212","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"73.185.146.216","Eden Prairie","Minnesota","44.8165283203125","-93.4327392578125"
"167.220.149.14","Bristow","Virginia","38.736610412597659","-77.54663848876953"
"167.220.149.14","","","",""
"167.220.26.13","Santa Clara","California","37.35147857666016","-121.95082092285156"
"157.58.213.75","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.211","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.213","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.203","","","",""
"157.58.213.196","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"157.58.213.205","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"75.73.156.138","Eden Prairie","Minnesota","44.886089324951168","-93.48526000976563"
"40.77.56.189","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"157.58.213.77","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"40.77.56.189","","","",""
"157.58.213.200","Cheyenne","Wyoming","41.141841888427737","-104.77919006347656"
"65.132.174.141","Saint Paul","Minnesota","44.87179946899414","-93.14681243896485"
"99.196.128.14","Denver","Colorado","39.742488861083987","-104.9856414794922"
"67.220.20.156","Minneapolis","Minnesota","44.96754837036133","-93.30303192138672"
"68.110.95.129","Tempe","Arizona","33.32767868041992","-111.9207763671875"
"13.86.105.236","Des Moines","Iowa","41.5890007019043","-93.61509704589844"
"13.86.106.78","","","",""
